conference_key,conference_name,tournament_label,status,notes
acc,ACC,ACC,current,
america-east,America East,AE,current,
american,American,Amer,current,
atlantic-10,Atlantic 10,A10,current,
atlantic-sun,Atlantic Sun,ASUN,current,
big-12,Big 12,Big 12,current,Legally distinct from the Big Six/Big Seven/Big Eight lineage.
big-east,Big East,Big East,current,
big-eight,Big Eight,Big 8,historical,Separate display identity within the Big Six/Big Seven/Big Eight lineage.
big-seven,Big Seven,Big 7,historical,Separate display identity within the Big Six/Big Seven/Big Eight lineage.
big-six,Big Six,Big 6,historical,Separate display identity within the Big Six/Big Seven/Big Eight lineage.
big-sky,Big Sky,Big Sky,current,
big-south,Big South,Big South,current,
big-ten,Big Ten,Big Ten,current,Historical Western Conference and Big Nine names are normalized to this identity in current school timelines.
big-west,Big West,Big West,current,
caa,CAA,CAA,current,
cusa,CUSA,CUSA,current,
horizon,Horizon,Horizon,current,
independent,Independent,,nonconference,Independent has no tournament label and always uses the safe fallback.
ivy,Ivy,Ivy,current,
maac,MAAC,MAAC,current,Historical label through 2025-26; do not conflate a future Metro identity with the old historical Metro Conference.
mac,MAC,MAC,current,
meac,MEAC,MEAC,current,
missouri-valley,Missouri Valley,MVC,current,Historical MVIAA wording is normalized to this stable identity in current school timelines.
mountain-west,Mountain West,MW,current,
nec,NEC,NEC,current,
ohio-valley,Ohio Valley,OVC,current,
pacific-coast,Pacific Coast Conference,PCC,historical,Owner-approved historical identity. Pacific Coast Conference was dissolved in 1959 and is a separate predecessor conference; it is not part of the AAWU/Pac-8/Pac-10/Pac-12 legal-entity continuity.
aawu,Athletic Association of Western Universities,AAWU,historical,"Owner-approved historical identity. Owner-confirmed legal continuity: AAWU, Pac-8, Pac-10, and Pac-12 are the same conference legal entity under successive names; retain separate historical display identities by naming era."
pac-8,Pacific-8 Conference,Pac-8,historical,"Owner-approved historical identity. Owner-confirmed legal continuity: AAWU, Pac-8, Pac-10, and Pac-12 are the same conference legal entity under successive names; retain separate historical display identities by naming era."
pac-10,Pacific-10 Conference,Pac-10,historical,"Owner-approved historical identity. Owner-confirmed legal continuity: AAWU, Pac-8, Pac-10, and Pac-12 are the same conference legal entity under successive names; retain separate historical display identities by naming era."
pac-12,Pac-12,Pac-12,current,"Do not retroactively use for a distinct Pac-10 naming era. Owner-confirmed legal continuity: AAWU, Pac-8, Pac-10, and Pac-12 are the same conference legal entity under successive names; retain separate historical display identities by naming era."
patriot,Patriot,Pat,current,
sec,SEC,SEC,current,
siaa,Southern Intercollegiate Athletic Association,SIAA,historical,
southern,Southern,Southern,current,School timelines may display this identity as Southern Conference.
southland,Southland,Slnd,current,
southwest-conference,Southwest Conference,SWC,historical,
summit,Summit,Summit,current,
sun-belt,Sun Belt,Sun Belt,current,
swac,SWAC,SWAC,current,
united-athletic,United Athletic,UAC,current,
wac,WAC,WAC,current,
wcc,WCC,WCC,current,
eastern-intercollegiate-conference,Eastern Intercollegiate Conference,EIC,historical,Owner-approved historical Penn State conference identity; tournament label approved 2026-08-25.
eastern-collegiate-basketball-league,Eastern Collegiate Basketball League,ECBL,historical,Owner-approved historical Penn State conference identity; tournament label approved 2026-08-25.
eastern-eight,Eastern Eight,E8,historical,Owner-approved historical Penn State conference identity; tournament label approved 2026-08-25.
metro-1975,Metro (1975),Metro (1975),historical,Owner-approved 2026-08-31 historical identity. The 1975-era Metro Conference must display as Metro (1975) to distinguish it from the conference formerly known as the MAAC adopting the Metro name beginning in 2026-27.
