index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,georgia,alumni-memorial-auditorium-gymnasium,VEN-000007,Alumni Gym,Alumni Memorial Gym,Knoxville,TN,gymnasium,,,unknown,7,1936-02-28,1940-03-02,,,,,,"Owner-supplied Conference Tournament Site Reference: completed SIAA, Southern Conference, and SEC sections authorized for Georgia only.",Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
1,georgia,georgia-alumni-hall,VEN-000276,Alumni Hall,Memorial Hall,Athens,GA,gymnasium,1911,,YEAR,33,1911-12-15,1919-02-22,home,1911-12-15,1919-02-22,exact,SOURCE_PROGRAM_HOME,"Georgia 2025-26 media guide, Previous Playing Facilities / Georgia Basketball Home Courts.","Historical Georgia home facility, now called Memorial Hall. The guide also says Georgia briefly returned here just before Woodruff Hall opened in 1925; those overlapping-era individual rows are not blanket-assigned."
2,georgia,athens-ymca,VEN-000275,Athens YMCA,Old Athens YMCA,Athens,GA,gymnasium,,,unknown,15,1906-03-10,1911-02-09,home,1906-03-10,1911-02-09,exact,SOURCE_PROGRAM_HOME,"Georgia 2025-26 media guide, Previous Playing Facilities / Georgia Basketball Home Courts.",Georgia inaugural home facility; guide lists the YMCA era as 1905-11. Chronology is used only after independent home classification.
3,georgia,atlanta-athletic-club-downtown,VEN-000246,Atlanta Athletic Club,,Atlanta,GA,arena,,,unknown,3,1933-02-24,1934-02-24,,,,,,"Owner-supplied Conference Tournament Site Reference: completed SIAA, Southern Conference, and SEC sections authorized for Georgia only.",Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
4,georgia,atlanta-municipal-auditorium,VEN-000274,Atlanta Municipal Auditorium,Municipal Auditorium,Atlanta,GA,arena,,,unknown,33,1921-02-25,1932-03-01,,,,,,"Owner-supplied Conference Tournament Site Reference: completed SIAA, Southern Conference, and SEC sections authorized for Georgia only.",Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
5,georgia,amalie-arena,VEN-000008,Benchmark International Arena,Amalie Arena,Tampa,FL,arena,,,unknown,2,2009-03-12,2022-03-09,,,,,,"Owner-supplied Conference Tournament Site Reference: completed SIAA, Southern Conference, and SEC sections authorized for Georgia only.",Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
6,georgia,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,20,2001-03-08,2026-03-12,,,,,,"Owner-supplied Conference Tournament Site Reference: completed SIAA, Southern Conference, and SEC sections authorized for Georgia only. Georgia Athletics official completed 2025-26 schedule and game/postseason evidence.",Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
7,georgia,caesars-superdome,VEN-000034,Caesars Superdome,,New Orleans,LA,stadium,,,unknown,2,1996-03-08,1996-03-09,,,,,,"Owner-supplied Conference Tournament Site Reference: completed SIAA, Southern Conference, and SEC sections authorized for Georgia only.",Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
8,georgia,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,1,2008-03-20,2008-03-20,,,,,,Georgia media guide NCAA Tournament history plus established project NCAA archival site evidence/global physical venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
9,georgia,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,,Charlotte,NC,arena,,,unknown,1,1997-03-14,1997-03-14,,,,,,Georgia media guide NCAA Tournament history plus established project NCAA archival site evidence/global physical venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry unless noted as a Georgia onboarding prerequisite.
