index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,alabama,clark-hall,VEN-000046,Clark Hall,,Tuscaloosa,AL,gymnasium,,,unknown,6,1915-02-19,1915-02-20,primary_home,1914-1915,1914-1915,season,An Alabama game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved refined Alabama home-venue chronology,Approximate/season-level assignment; Alabama moved onto campus to Clark Hall during 1915 before Little Hall opened.
1,alabama,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,arena,1968-01-30,,exact,627,1968-02-01,2026-03-07,primary_home,1968-01-30,,exact,An Alabama game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Alabama chronology; Alabama Athletics facility history,Facility relationship begins 1968-01-30; first Alabama basketball game assigned is 1968-02-01 vs Samford.
2,alabama,foster-auditorium,VEN-000067,Foster Auditorium,,Tuscaloosa,AL,arena,1939,,year,137,1941-12-08,1968-01-13,primary_home,1939-1940,1968-01-30,mixed,An Alabama game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Alabama home-venue chronology; Alabama Athletics facility history,Home venue from 1939-40 through the January 1968 home schedule; relationship ends at Coleman opening boundary.
3,alabama,little-hall,VEN-000114,Little Hall,,Tuscaloosa,AL,gymnasium,1915,,year,175,1918-02-09,1938-02-22,primary_home,1915-1916,1938-1939,season,An Alabama game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved refined Alabama home-venue chronology; University historical evidence dates Little Hall to 1915,Primary Alabama home venue after Clark Hall through 1938-39.
4,alabama,benchmark-international-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,2,2026-03-20,2026-03-22,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
5,alabama,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,1,2026-03-13,2026-03-13,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
6,alabama,humphrey-coliseum,VEN-000087,Humphrey Coliseum,,Starkville,MS,arena,,,unknown,1,2026-01-13,2026-01-13,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
7,alabama,legacy-arena,VEN-000109,Legacy Arena,,Birmingham,AL,arena,,,unknown,2,2017-12-22,2025-12-13,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).; 2017-12-22 vs Texas added by global venue QA correction.
8,alabama,lloyd-noble-center,VEN-000116,Lloyd Noble Center,,Norman,OK,arena,,,unknown,1,2026-01-17,2026-01-17,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
9,alabama,mgm-grand-garden-arena,VEN-000133,MGM Grand Garden Arena,,Paradise,NV,arena,,,unknown,3,2025-11-24,2025-11-26,,,,,,Owner-supplied completed 2025-26 results table,"Exact venue supplied for 2025-26 game(s). Canonical venue location normalized to Paradise, NV to match the existing shared venue registry; Alabama source text may describe the event location as Las Vegas, NV."
10,alabama,madison-square-garden,VEN-000124,Madison Square Garden,,New York,NY,arena,,,unknown,1,2025-11-08,2025-11-08,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
11,alabama,memorial-gymnasium,VEN-000130,Memorial Gymnasium,,Nashville,TN,arena,,,unknown,1,2026-01-06,2026-01-06,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
12,alabama,neville-arena,VEN-000150,Neville Arena,,Auburn,AL,arena,,,unknown,1,2026-02-07,2026-02-07,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
13,alabama,oconnell-center,VEN-000154,O'Connell Center,,Gainesville,FL,arena,,,unknown,1,2026-02-01,2026-02-01,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
14,alabama,pete-maravich-assembly-center,VEN-000163,Pete Maravich Assembly Center,,Baton Rouge,LA,arena,,,unknown,1,2026-02-21,2026-02-21,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
15,alabama,propst-arena,VEN-000169,Propst Arena,,Huntsville,AL,arena,,,unknown,1,2025-12-21,2025-12-21,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
16,alabama,sjb-pavilion,VEN-000187,SJB Pavilion,,Oxford,MS,arena,,,unknown,1,2026-02-11,2026-02-11,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
17,alabama,stegeman-coliseum,VEN-000198,Stegeman Coliseum,,Athens,GA,arena,,,unknown,1,2026-03-03,2026-03-03,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
18,alabama,thompson-boling-arena,VEN-000211,Thompson-Boling Arena,,Knoxville,TN,arena,,,unknown,1,2026-02-28,2026-02-28,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
19,alabama,united-center,VEN-000217,United Center,,Chicago,IL,arena,,,unknown,2,2025-11-19,2026-03-27,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
