index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,wisconsin,at-t-stadium,VEN-000015,AT&T Stadium,,Arlington,TX,stadium,,,unknown,1,2014-04-05,2014-04-05,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000015.
1,wisconsin,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,unknown,2,2025-03-20,2025-03-22,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000018.
2,wisconsin,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,1,2024-03-22,2024-03-22,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000020.
3,wisconsin,bradley-center,VEN-000026,Bradley Center,BMO Harris Bradley Center,Milwaukee,WI,arena,,,unknown,4,2004-03-19,2014-03-22,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000026.
4,wisconsin,chi-health-center,VEN-000043,CHI Health Center Omaha,CenturyLink Center;Qwest Center,Omaha,NE,arena,,,unknown,4,2008-03-20,2015-03-22,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000043.
5,wisconsin,capital-one-arena,VEN-000036,Capital One Arena,MCI Center,Washington,DC,arena,,,unknown,5,2002-03-15,2017-03-12,,,,,,Owner-authorized complete Big Ten section of Conference Tournament Site Reference; current-main global venue registry; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000036.
6,wisconsin,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,,Charlotte,NC,arena,,,unknown,1,1999-03-12,1999-03-12,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000041.
7,wisconsin,crypto-com-arena,VEN-000051,Crypto.com Arena,Staples Center,Los Angeles,CA,arena,,,unknown,2,2015-03-26,2015-03-28,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000051.
8,wisconsin,dee-events-center,VEN-000054,Dee Events Center,,Ogden,UT,arena,,,unknown,2,1994-03-17,1994-03-19,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity; Wisconsin dedicated NCAA Tournament summaries / current-main physical venue registry.,Integration rebase resolved final global venue ID VEN-000054.
9,wisconsin,delta-center,VEN-000055,Delta Center,,Salt Lake City,UT,arena,,,unknown,1,2025-11-21,2025-11-21,,,,,,Wisconsin official record book / official schedule and established current-main global venue identity.,Integration rebase resolved final global venue ID VEN-000055.
