index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,south-carolina,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Providence Civic Center; Dunkin’ Donuts Center,Providence,RI,arena,,,unknown,1,1989-03-17,1989-03-17,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000011.
1,south-carolina,atlanta-municipal-auditorium,VEN-000274,Atlanta Municipal Auditorium,,Atlanta,GA,arena,,,unknown,8,1922-02-24,1928-02-24,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000274. Integration preflight disambiguation: bare alias 'Municipal Auditorium' removed from the South Carolina relationship layer because it also names Kansas City Municipal Auditorium VEN-000143. Historical Atlanta source wording remains preserved in source-games.csv; curated venue assignment remains Atlanta Municipal Auditorium VEN-000274.
2,south-carolina,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,3,2012-12-22,2016-11-26,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000020.
3,south-carolina,amalie-arena,VEN-000008,Benchmark International Arena,St. Pete Times Forum; Amalie Arena,Tampa,FL,arena,,,unknown,2,2009-03-13,2022-03-10,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase: research key 'benchmark-international-arena' rebound to current-main physical key 'amalie-arena'. Integration rebase resolved final global venue ID VEN-000008.
4,south-carolina,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,,Greenville,SC,arena,,,unknown,3,2017-03-17,2022-12-17,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000025.
5,south-carolina,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,Meadowlands Arena; Continental Airlines Arena; IZOD Center,East Rutherford,NJ,arena,,,unknown,2,1987-01-14,1998-12-22,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000028.
6,south-carolina,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,20,2001-03-08,2026-03-11,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000031.
7,south-carolina,bud-walton-arena,VEN-000032,Bud Walton Arena,,Fayetteville,AR,arena,,,unknown,1,2026-01-14,2026-01-14,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000032.
8,south-carolina,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome; Mercedes-Benz Superdome,New Orleans,LA,arena,,,unknown,5,1986-12-28,2003-03-13,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000034.
9,south-carolina,cameron-indoor-stadium,VEN-000035,Cameron Indoor Stadium,,Durham,NC,arena,,,unknown,5,1947-02-28,1950-03-02,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000035.
10,south-carolina,capital-one-arena,VEN-000036,Capital One Arena,MCI Center; Verizon Center,Washington,DC,arena,,,unknown,1,1998-03-12,1998-03-12,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000036.
11,south-carolina,carolina-coliseum,VEN-000344,Carolina Coliseum,Frank McGuire Arena,Columbia,SC,arena,,,unknown,499,1968-11-30,2002-03-21,home,1968-11-30,2002-03-21,exact,SOURCE_PROGRAM_HOME,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000344.
12,south-carolina,carolina-fieldhouse,VEN-000345,Carolina Fieldhouse,,Columbia,SC,arena,,,unknown,417,1927-02-17,1968-03-02,home,1927-02-17,1968-03-02,exact,SOURCE_PROGRAM_HOME,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000345.
13,south-carolina,carolina-gymnasium,VEN-000346,Carolina Gymnasium,Longstreet Theater,Columbia,SC,arena,,,unknown,109,1912-01-07,1927-01-24,home,1912-01-07,1927-01-24,exact,SOURCE_PROGRAM_HOME,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000346.
14,south-carolina,charles-koch-arena,VEN-000039,Charles Koch Arena,Levitt Arena,Wichita,KS,arena,,,unknown,1,1973-03-10,1973-03-10,,,,,,"South Carolina 2025-26 Records & History homecourt/year-by-year evidence; owner-supplied conference-tournament site reference; NCAA official attendance/site records; official schedule/host evidence for modern and NIT sites, as applicable.",Research-lane physical identity. Numeric venue_id intentionally left blank; Implementation must rebase against current main and reuse/allocate authoritative global identity. Integration rebase resolved final global venue ID VEN-000039.
