source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
ucf,amerant-bank-arena,VEN-000009,Amerant Bank Arena,BankAtlantic Center,Sunrise,FL,,,,unknown,3,2010-12-18,2024-12-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence; Stage 6 physical-identity challenge used UCF's BankAtlantic Center game evidence plus arena naming-history evidence establishing BankAtlantic Center as a naming era of the same Sunrise physical building.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=amerant-bank-arena; research-base venue_id=VEN-000009. Stage 6 collapsed the duplicate local BankAtlantic Center row into this physical identity; BankAtlantic Center is preserved as a historical alias. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000009.
ucf,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Providence Civic Center,Providence,RI,,,,unknown,1,1996-03-14,1996-03-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=amica-mutual-pavilion; research-base venue_id=VEN-000011. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000011.
ucf,amway-center,VEN-000012,Amway Center,,Orlando,FL,,,,unknown,4,2010-12-01,2018-03-09,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=amway-center; research-base venue_id=VEN-000012. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000012.
ucf,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,,,,unknown,3,2019-11-28,2019-12-01,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=anaheim-convention-center; research-base venue_id=VEN-000386. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000386.
ucf,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,,Nassau,BS,,,,unknown,2,2022-11-18,2022-11-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=baha-mar-convention-center; research-base venue_id=VEN-000267. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000267.
ucf,bok-center,VEN-000024,BOK Center,,Tulsa,OK,,,,unknown,2,2010-03-10,2010-03-11,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=bok-center; research-base venue_id=VEN-000024. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000024.
ucf,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,BI-LO Center,Greenville,SC,,,,unknown,3,1999-11-26,1999-11-28,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=bon-secours-wellness-arena; research-base venue_id=VEN-000025. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000025.
ucf,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,,,,unknown,1,2004-03-19,2004-03-19,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=bradley-center; research-base venue_id=VEN-000026. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000026.
ucf,breslin-center,VEN-000029,Breslin Center,,East Lansing,MI,,,,unknown,1,1998-11-28,1998-11-28,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=breslin-center; research-base venue_id=VEN-000029. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000029.
ucf,carlson-center,VEN-000466,Carlson Center,,Fairbanks,AK,,,,unknown,2,2004-11-20,2004-11-21,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=carlson-center; research-base venue_id=VEN-000466. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000466.
ucf,cfe-arena,VEN-000038,Addition Financial Arena,CFE Arena,Orlando,FL,,,,unknown,317,2007-11-11,2026-03-03,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=cfe-arena; research-base venue_id=VEN-000038. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000038.
ucf,chi-health-center,VEN-000043,CHI Health Center Omaha,Qwest Center Omaha,Omaha,NE,,,,unknown,1,2011-03-23,2011-03-23,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=chi-health-center; research-base venue_id=VEN-000043. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000043.
ucf,colonial-hall-greenbrier,VEN-000348,Colonial Hall at The Greenbrier,,White Sulphur Springs,WV,,,,unknown,2,2024-11-22,2024-11-24,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=colonial-hall-greenbrier; research-base venue_id=VEN-000348. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000348.
ucf,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,,,,unknown,2,2019-03-22,2019-03-24,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=colonial-life-arena; research-base venue_id=VEN-000049. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000049.
ucf,curb-event-center,VEN-000688,Curb Event Center,,Nashville,TN,,,,unknown,6,2004-03-04,2005-03-05,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Official ASUN record book plus Belmont facility history exact site; numeric global identity deferred. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000688.
ucf,daskalakis-athletic-center,VEN-000689,Daskalakis Athletic Center,,Philadelphia,PA,,,,unknown,1,2012-03-14,2012-03-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Drexel official NIT evidence exact site; numeric global identity deferred. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000689.
