index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,lsu,john-m-parker-agricultural-coliseum,VEN-000270,John M. Parker Agricultural Coliseum,Cow Palace,Baton Rouge,LA,arena,1937,,YEAR,364,1937-01-06,1971-02-15,primary_home,1937-01-01,1971-02-15,exact,A LSU game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Historical primary-home relationship; chronology used only after independent home classification.
1,lsu,lsu-gym-armory,VEN-000269,LSU Gym/Armory,,Baton Rouge,LA,gymnasium,1930,,YEAR,67,1930-01-17,1936-12-16,primary_home,1930-01-01,1936-12-31,exact,A LSU game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,"Historical primary-home relationship; chronology used only after independent home classification. Distinct physical building from Huey Long Field House; LSU publications sometimes conflate the names, while LSU institutional building history distinguishes them."
2,lsu,old-lsu-pavilion,VEN-000268,Old LSU Pavilion,,Baton Rouge,LA,gymnasium,,,unknown,122,1909-02-06,1924-02-09,primary_home,1909-01-30,1924-02-28,exact,A LSU game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Historical primary-home relationship; chronology used only after independent home classification.
3,lsu,pete-maravich-assembly-center,VEN-000163,Pete Maravich Assembly Center,LSU Assembly Center,Baton Rouge,LA,arena,1971,,YEAR,876,1972-01-03,2026-03-07,primary_home,1972-01-03,,exact,A LSU game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Historical primary-home relationship; chronology used only after independent home classification.
4,lsu,allstate-arena,VEN-000004,Allstate Arena,,Rosemont,IL,arena,,,unknown,3,1987-03-13,1993-03-18,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
5,lsu,alumni-memorial-auditorium-gymnasium,VEN-000007,Alumni Gym,,Knoxville,TN,gymnasium,,,unknown,7,1936-02-28,1940-02-29,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
6,lsu,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,,Bloomington,IN,arena,,,unknown,2,1979-03-10,2021-03-20,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
7,lsu,atlanta-athletic-club-downtown,VEN-000246,Atlanta Athletic Club,,Atlanta,GA,arena,,,unknown,4,1933-02-20,1934-03-03,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
8,lsu,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,4,2009-03-13,2022-03-11,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
9,lsu,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,20,2001-03-08,2026-03-11,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
10,lsu,bud-walton-arena,VEN-000032,Bud Walton Arena,,Fayetteville,AR,arena,,,unknown,1,2026-01-24,2026-01-24,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
11,lsu,caesars-superdome,VEN-000034,Caesars Superdome,,New Orleans,LA,stadium,,,unknown,8,1981-03-20,2012-03-09,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
12,lsu,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,1,2019-03-29,2019-03-29,,,,,,LSU Athletics official facility/history evidence; LSU 2025-26 record book; established project venue registry.,Per-game external venue assignment; physical identity reuses the established global venue registry.
