index,source_program_key,venue_key,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,auburn,auburn-alumni-gymnasium,Alumni Gymnasium,,Auburn,AL,gymnasium,1916-02-22,,exact,211,1917-01-26,1948-02-17,primary_home,1916-1917,1947-1948,season,An Auburn game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Auburn venue chronology; Auburn University Archives,"Dedicated Feb. 22, 1916; primary varsity home beginning 1916-17. Pre-1916 home venue remains unknown."
1,auburn,auburn-sports-arena,Auburn Sports Arena,,Auburn,AL,arena,1948,,year,199,1948-12-11,1968-03-03,primary_home,1948-1949,1969-01-11,mixed,An Auburn game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Auburn venue chronology; Auburn historical records,Primary home beginning 1948-49 through the opening boundary of Beard-Eaves-Memorial Coliseum.
2,auburn,beard-eaves-memorial-coliseum,Beard-Eaves-Memorial Coliseum,,Auburn,AL,arena,1969-01-11,2010-03-03,exact,580,1969-01-11,2010-03-03,primary_home,1969-01-11,2010-03-03,exact,An Auburn game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Auburn venue chronology; Auburn Athletics arena records,"Primary home from Jan. 11, 1969 through final home game Mar. 3, 2010."
3,auburn,neville-arena,Neville Arena,Auburn Arena,Auburn,AL,arena,2010-11-12,,exact,266,2010-11-12,2026-03-25,primary_home,2010-11-12,,exact,An Auburn game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Auburn venue chronology; Auburn Athletics arena records,"Opened for Auburn men's basketball Nov. 12, 2010 as Auburn Arena; current name Neville Arena."
4,auburn,bridgestone-arena,Bridgestone Arena,,Nashville,TN,arena,,,unknown,2,2026-03-11,2026-03-12,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
5,auburn,bud-walton-arena,Bud Walton Arena,,Fayetteville,AR,arena,,,unknown,1,2026-02-14,2026-02-14,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
6,auburn,coleman-coliseum,Coleman Coliseum,,Tuscaloosa,AL,arena,,,unknown,1,2026-03-07,2026-03-07,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
7,auburn,gainbridge-fieldhouse,Gainbridge Fieldhouse,,Indianapolis,IN,arena,,,unknown,2,2025-12-20,2026-04-05,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
8,auburn,hinkle-fieldhouse,Hinkle Fieldhouse,,Indianapolis,IN,arena,,,unknown,1,2026-04-02,2026-04-02,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
9,auburn,humphrey-coliseum,Humphrey Coliseum,,Starkville,MS,arena,,,unknown,1,2026-02-18,2026-02-18,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
10,auburn,legacy-arena,Legacy Arena,,Birmingham,AL,arena,,,unknown,1,2025-11-16,2025-11-16,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
11,auburn,lloyd-noble-center,Lloyd Noble Center,,Norman,OK,arena,,,unknown,1,2026-02-24,2026-02-24,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
12,auburn,mckale-memorial-center,McKale Memorial Center,,Tucson,AZ,arena,,,unknown,1,2025-12-06,2025-12-06,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
13,auburn,michelob-ultra-arena,Michelob ULTRA Arena,,Las Vegas,NV,arena,,,unknown,3,2025-11-24,2025-11-26,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
14,auburn,mizzou-arena,Mizzou Arena,,Columbia,MO,arena,,,unknown,1,2026-01-14,2026-01-14,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
15,auburn,oconnell-center,O'Connell Center,,Gainesville,FL,arena,,,unknown,1,2026-01-24,2026-01-24,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
16,auburn,sjb-pavilion,SJB Pavilion,,Oxford,MS,arena,,,unknown,1,2026-01-20,2026-01-20,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
17,auburn,state-farm-arena,State Farm Arena,,Atlanta,GA,arena,,,unknown,1,2025-12-13,2025-12-13,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
18,auburn,stegeman-coliseum,Stegeman Coliseum,,Athens,GA,arena,,,unknown,1,2026-01-03,2026-01-03,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
19,auburn,thompson-boling-arena,Thompson-Boling Arena,,Knoxville,TN,arena,,,unknown,1,2026-01-31,2026-01-31,,,,,,Auburn Athletics 2025-26 official schedule,Exact venue supplied by Auburn's official 2025-26 schedule; canonical name normalized where an established project venue name exists.
