index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,oklahoma-state,cfe-arena,VEN-000038,Addition Financial Arena,,Orlando,FL,arena,,,,1,2026-03-03,2026-03-03,,,,,,Completed official 2025-26 Oklahoma State schedule/result row explicitly supplies away location and venue.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000038.
1,oklahoma-state,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,,4,1953-03-13,1965-03-13,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000001.
2,oklahoma-state,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,,1,2004-04-03,2004-04-03,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000002.
3,oklahoma-state,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,4,1958-03-14,1984-03-06,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed. | Owner-authorized Oklahoma State conference-site reference and/or official Oklahoma State postseason history; physical identity reconciled to research-base venue registry.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000003.
4,oklahoma-state,allstate-arena,VEN-000004,Allstate Arena,,Rosemont,IL,arena,,,,1,2005-03-24,2005-03-24,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000004.
5,oklahoma-state,amerant-bank-arena,VEN-000009,Amerant Bank Arena,,Sunrise,FL,arena,,,,2,2015-12-19,2017-12-16,,,,,,OSU media-guide Orange Bowl/BB&T Center evidence; current-base physical venue is Amerant Bank Arena. | OSU media-guide event legend identifies BB&T Center; same physical venue now Amerant Bank Arena.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000009.
6,oklahoma-state,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,7,2003-03-14,2011-12-28,,,,,,Current official OSU schedule identifies SMU game at American Airlines Center. | Owner-authorized Oklahoma State conference-site reference and/or official Oklahoma State postseason history; physical identity reconciled to research-base venue registry.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000010.
7,oklahoma-state,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,arena,,,,3,2010-11-25,2010-11-28,,,,,,Official OSU 76 Classic announcement and game notes identify Anaheim Convention Center; current-base venue reuse.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000386.
8,oklahoma-state,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,,Nassau,BS,arena,,,,2,2022-11-18,2022-11-20,,,,,,Official OSU postgame notes/box scores identify Baha Mar Convention Center in Nassau; current-base reuse.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000267.
9,oklahoma-state,baltimore-arena,VEN-000019,Baltimore Arena,,Baltimore,MD,arena,,,,2,1995-03-16,1995-03-18,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000019.
10,oklahoma-state,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,7,2017-11-20,2023-11-17,,,,,,OSU media-guide Legends Classic legend identifies Barclays Center. | Official OSU NIT Season Tip-Off game coverage identifies Barclays Center; current-base reuse. | Official OSU postgame notes/box score identify Barclays Center; current-base reuse.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000020.
11,oklahoma-state,beasley-coliseum,VEN-000283,Beasley Coliseum,,Pullman,WA,arena,,,,1,2011-03-21,2011-03-21,,,,,,Owner-authorized Oklahoma State conference-site reference and/or official Oklahoma State postseason history; physical identity reconciled to research-base venue registry.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000283.
12,oklahoma-state,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,,Lincoln,NE,arena,,,,2,1978-02-28,1982-03-02,,,,,,Owner-authorized Oklahoma State conference-site reference and/or official Oklahoma State postseason history; physical identity reconciled to research-base venue registry.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000023.
13,oklahoma-state,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,,2,2010-12-08,2019-12-21,,,,,,OSU media-guide event legend identifies BOK Center.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000024.
14,oklahoma-state,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,BI-LO Center,Greenville,SC,arena,,,,1,2002-03-14,2002-03-14,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000025.
15,oklahoma-state,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,,1,2010-03-19,2010-03-19,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000026.
16,oklahoma-state,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,Continental Airlines Arena,East Rutherford,NJ,arena,,,,5,1991-03-22,2004-03-27,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000028.
17,oklahoma-state,chi-health-center,VEN-000043,CHI Health Center Omaha,CenturyLink Center Omaha,Omaha,NE,arena,,,,1,2015-03-20,2015-03-20,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000043.
18,oklahoma-state,cole-field-house,VEN-000047,Cole Field House,,College Park,MD,arena,,,,2,1991-03-14,1991-03-16,,,,,,OSU NCAA history establishes tournament locality; physical building reconciled to the research-base NCAA venue registry and targeted official institutional evidence where needed.,Current research-base venue reuse; serialized Implementation must still confirm physical-identity reuse against current main. Integration rebase resolved final global venue ID VEN-000047.
