venue_id,venue_key,display_name,city,state,opened,closed,date_precision,identity_status,source_basis,notes
VEN-000001,ahearn-field-house,Ahearn Field House,Manhattan,KS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000002,alamodome,Alamodome,San Antonio,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000003,allen-fieldhouse,Allen Fieldhouse,Lawrence,KS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000004,allstate-arena,Allstate Arena,Rosemont,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000005,alumni-gym,Alumni Gym,Lexington,KY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000006,alumni-hall-depaul,Alumni Hall,Chicago,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000007,alumni-memorial-auditorium-gymnasium,Alumni Gym,Knoxville,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000008,amalie-arena,Benchmark International Arena,Tampa,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000009,amerant-bank-arena,Amerant Bank Arena,Sunrise,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000010,american-airlines-center,American Airlines Center,Dallas,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000011,amica-mutual-pavilion,Amica Mutual Pavilion,Providence,RI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000012,amway-center,Amway Center,Orlando,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000013,arco-arena,ARCO Arena,Sacramento,CA,1988-11-08,2016,EXACT_START_YEAR_END,RESEARCHED_REUSED_NAME,Sacramento Kings official history: ARCO Arena II opened for NBA play on 1988-11-08.,ARCO Arena II / later Sleep Train Arena. The temporary ARCO Arena I is a different physical venue and must receive a different VEN ID if encountered.
VEN-000014,astrodome,Astrodome,Houston,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000015,at-t-stadium,AT&T Stadium,Arlington,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000016,auburn-alumni-gymnasium,Alumni Gymnasium,Auburn,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000017,auburn-sports-arena,Auburn Sports Arena,Auburn,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
