index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,mississippi-state,alumni-memorial-auditorium-gymnasium,VEN-000007,Alumni Gym,Alumni Gymnasium;Alumni Memorial Auditorium-Gymnasium,Knoxville,TN,gymnasium,,,unknown,4,1936-02-28,1940-02-28,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
1,mississippi-state,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,unknown,2,2002-03-15,2002-03-17,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
2,mississippi-state,atlanta-athletic-club-downtown,VEN-000246,Atlanta Athletic Club,,Atlanta,GA,gymnasium,,,unknown,4,1933-02-25,1934-02-24,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
3,mississippi-state,amalie-arena,VEN-000008,Benchmark International Arena,Amalie Arena,Tampa,FL,arena,,,unknown,6,2009-03-12,2022-03-11,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
4,mississippi-state,bramlage-coliseum,VEN-000027,Bramlage Coliseum,,Manhattan,KS,arena,,,unknown,1,1994-03-17,1994-03-17,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
5,mississippi-state,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,,East Rutherford,NJ,arena,,,unknown,1,1996-03-30,1996-03-30,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
6,mississippi-state,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,23,2001-03-08,2026-03-11,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
7,mississippi-state,cadence-bank-arena,VEN-000244,Cadence Bank Arena,,Tupelo,MS,arena,,,unknown,1,2025-12-07,2025-12-07,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
8,mississippi-state,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,stadium,,,unknown,6,1996-03-08,2003-03-16,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
9,mississippi-state,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,,Charlotte,NC,arena,,,unknown,2,2005-03-18,2005-03-20,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
10,mississippi-state,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,arena,,,unknown,1,2026-02-25,2026-02-25,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
11,mississippi-state,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,arena,,,unknown,1,2026-02-21,2026-02-21,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
12,mississippi-state,delta-center,VEN-000055,Delta Center,,Salt Lake City,UT,arena,,,unknown,1,2025-12-13,2025-12-13,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
13,mississippi-state,enterprise-center,VEN-000060,Enterprise Center,,St. Louis,MO,arena,,,unknown,2,2018-03-08,2018-03-09,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
14,mississippi-state,extramile-arena,VEN-000061,ExtraMile Arena,,Boise,ID,arena,,,unknown,2,1995-03-17,1995-03-19,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
15,mississippi-state,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,stadium,,,unknown,18,1995-03-10,2014-03-13,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
16,mississippi-state,hoosier-dome,VEN-000083,Hoosier Dome,,Indianapolis,IN,stadium,,,unknown,2,1996-03-14,1996-03-16,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
17,mississippi-state,huey-long-field-house,VEN-000247,Huey Long Field House,,Baton Rouge,LA,fieldhouse,,,unknown,1,1938-03-03,1938-03-03,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
18,mississippi-state,humphrey-coliseum,VEN-000087,Humphrey Coliseum,,Starkville,MS,arena,,,unknown,754,1975-12-01,2026-03-07,primary_home,1975-12-01,,exact,A Mississippi State game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-supplied Mississippi State venue chronology; Mississippi State official Humphrey Coliseum history.,First Mississippi State basketball game at Humphrey Coliseum was 1975-12-01 vs. Indiana State; ongoing primary home.
19,mississippi-state,jefferson-county-armory,VEN-000248,Jefferson County Armory,,Louisville,KY,arena,,,unknown,13,1941-02-27,1952-02-28,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
20,mississippi-state,jenison-fieldhouse,VEN-000093,Jenison Fieldhouse,,East Lansing,MI,fieldhouse,,,unknown,2,1963-03-15,1963-03-16,,,,,,Mississippi State official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
