venue_id,venue_name,normalized_name,name_type,valid_from,valid_to,date_precision,source_basis,notes
VEN-000001,Ahearn Field House,ahearnfieldhouse,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000002,Alamodome,alamodome,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000003,Allen Fieldhouse,allenfieldhouse,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000004,Allstate Arena,allstatearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000005,Alumni Gym,alumnigym,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000006,Alumni Hall,alumnihall,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000007,Alumni Gym,alumnigym,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000007,Alumni Gymnasium,alumnigymnasium,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000007,Alumni Memorial Auditorium-Gymnasium,alumnimemorialauditoriumgymnasium,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000008,Amalie Arena,amaliearena,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000008,Benchmark International Arena,benchmarkinternationalarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000009,Amerant Bank Arena,amerantbankarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000010,American Airlines Center,americanairlinescenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000011,Amica Mutual Pavilion,amicamutualpavilion,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000012,Amway Center,amwaycenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000013,ARCO Arena,arcoarena,PROJECT_DISPLAY,1988-11-08,2016,EXACT_START_YEAR_END,Sacramento Kings official history: ARCO Arena II opened for NBA play on 1988-11-08.,
VEN-000014,Astrodome,astrodome,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000015,AT&T Stadium,attstadium,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000016,Alumni Gymnasium,alumnigymnasium,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000017,Auburn Sports Arena,auburnsportsarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000018,Ball Arena,ballarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000019,Baltimore Arena,baltimorearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000020,Barclays Center,barclayscenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000021,Barnhill Arena,barnhillarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000022,Beard-Eaves-Memorial Coliseum,beardeavesmemorialcoliseum,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000023,Bob Devaney Sports Center,bobdevaneysportscenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000024,BOK Center,bokcenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000025,Bon Secours Wellness Arena,bonsecourswellnessarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000026,Bradley Center,bradleycenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000027,Bramlage Coliseum,bramlagecoliseum,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000028,Brendan Byrne Arena,brendanbyrnearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000029,Breslin Center,breslincenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000030,Brewer Fieldhouse,brewerfieldhouse,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000031,Bridgestone Arena,bridgestonearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000032,Bud Walton Arena,budwaltonarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000033,Burr Gymnasium,burrgymnasium,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000034,Caesars Superdome,caesarssuperdome,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000034,Louisiana Superdome,louisianasuperdome,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000035,Cameron Indoor Stadium,cameronindoorstadium,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000036,Capital One Arena,capitalonearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000037,Carver-Hawkeye Arena,carverhawkeyearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000037,Carver–Hawkeye Arena,carverhawkeyearena,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000038,Addition Financial Arena,additionfinancialarena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000038,CFE Arena,cfearena,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000039,Charles Koch Arena,charleskocharena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000040,Charlotte Coliseum,charlottecoliseum,PROJECT_DISPLAY,1955,1988,YEAR,Mecklenburg County historic-landmark history: original Charlotte Coliseum opened in 1955.,
VEN-000041,Charlotte Coliseum,charlottecoliseum,PROJECT_DISPLAY,1988,2005,YEAR,Charlotte athletics/Hornets history: the new Charlotte Coliseum was in use beginning in 1988.,
VEN-000042,Chase Center,chasecenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000043,CHI Health Center,chihealthcenter,HISTORICAL_OR_ALIAS,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000043,CHI Health Center Omaha,chihealthcenteromaha,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000044,Chicago Stadium,chicagostadium,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000045,Cintas Center,cintascenter,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000046,Clark Hall,clarkhall,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000047,Cole Field House,colefieldhouse,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000048,Coleman Coliseum,colemancoliseum,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000049,Colonial Life Arena,coloniallifearena,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000050,Convention Hall,conventionhall,PROJECT_DISPLAY,,,,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
