index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,iowa,acrisure-arena,VEN-000242,Acrisure Arena,,Palm Desert,CA,arena,,,unknown,2,2025-11-25,2025-11-26,,,,,,Iowa Athletics official 2025-26 recap/schedule evidence.,
1,iowa,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,,Bloomington,IN,gymnasium,,,unknown,1,1979-03-10,1979-03-10,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
2,iowa,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,2,2016-03-18,2016-03-20,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
3,iowa,beasley-coliseum,VEN-000283,Beasley Coliseum,,Pullman,WA,arena,,,unknown,2,1982-03-12,1982-03-14,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,FINAL integration allocation confirmed against current main 4c8d75592f98b42a8534182a5af9bf240b1fd16c; Iowa current-main rebase required no renumbering.
4,iowa,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,2,2026-03-20,2026-03-22,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
5,iowa,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,1,2017-03-09,2017-03-09,,,,,,Owner-supplied Conference_Tournament_Site_Reference(5).xlsm; Big Ten section explicitly authorized complete for Iowa.,
6,iowa,carver-hawkeye-arena,VEN-000037,Carver-Hawkeye Arena,,Iowa City,IA,arena,,,unknown,771,1983-01-05,2026-03-05,home,1983-01-05,,exact,SOURCE_PROGRAM_HOME,University of Iowa / Iowa Athletics official facility history; contemporary Daily Iowan evidence for New Armory; chronology used only after explicit home designation.,
7,iowa,charles-koch-arena,VEN-000039,Charles Koch Arena,,Wichita,KS,arena,,,unknown,1,1981-03-15,1981-03-15,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
8,iowa,delta-center,VEN-000055,Delta Center,,Salt Lake City,UT,arena,,,unknown,2,1997-03-13,1997-03-15,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
9,iowa,desert-financial-arena,VEN-000056,Desert Financial Arena,,Tempe,AZ,arena,,,unknown,2,1996-03-15,1996-03-17,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
10,iowa,freedom-hall,VEN-000069,Freedom Hall,,Louisville,KY,arena,,,unknown,2,1983-03-17,1983-03-19,,,,,,Iowa media guide NCAA history city evidence plus project NCAA archival site reference / NCAA site records where mapped.,
